"filename", "language", "Properties", "JSON with Comments", "Makefile", "Docker", "YAML", "Shell Script", "JavaScript", "CSS", "JSON", "Markdown", "JavaScript JSX", "XML", "comment", "blank", "total"
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\users\getusers\[...regionlevel]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 8, 48
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\users\putusers\[...userid]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 7, 46
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\users\resetpas\[id]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modir\addnewunit\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 12, 60
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modir\contract\add\nocontract\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 9, 47
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modir\contract\add\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 40, 14, 165
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modir\contract\getimage\[...filename]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 6, 31
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modir\contract\getperunit\[...unitid]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 3, 6, 51
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modir\contract\removecontract\[id]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 7, 31
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modir\pricelist\getpricelist\[...yeargradegender]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 3, 11, 54
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modir\regcompany\getcompanybyregid\[...id]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modir\update\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 7, 34
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modirunit\[...userid]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 10, 5, 47
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\modirunit\update\[...userid]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 13, 7, 72
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\region\[regioncode]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 6, 45
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\region\province\[provincecode]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 7, 47
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\unit\[...id]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 3, 6, 48
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\user\[...phone]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 5, 57
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\user\getimage\[...filename]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 6, 37
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\user\profile\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 2, 7, 62
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\error.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 20, 43, 191
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\layout.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\loading.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\not-found.js", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\p-admin\admin\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 8, 44
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\p-admin\contract\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 480, 0, 0, 0, 0, 0, 11, 19, 510
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\p-admin\error.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\p-admin\layout.js", "JavaScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 4, 55
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\p-admin\lecturer\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1331, 0, 0, 0, 0, 0, 54, 56, 1441
